epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3584,1.5903,3.19787,1.36041,0.00333,1,0.995,0.72546,0.73672,3.02387,1.04611,0.00012,0.00012,0.00012
2,20.522,0.94508,1.59271,1.02105,0.99704,1,0.995,0.80248,0.81104,2.17082,1.00712,0.00025142,0.00025142,0.00025142
3,30.5238,0.73576,1.18981,0.92998,0.99629,1,0.995,0.84559,0.52312,2.11141,0.8906,0.0003736,0.0003736,0.0003736
4,39.8611,0.73158,1.14507,0.93671,0.99587,1,0.995,0.82079,0.5181,2.05826,0.93444,0.00048654,0.00048654,0.00048654
5,49.0073,0.67272,1.05165,0.92001,0.99816,1,0.995,0.82457,0.72393,2.07169,0.9851,0.00059024,0.00059024,0.00059024
6,58.1935,0.63633,1.12419,0.92066,0.99962,1,0.995,0.90368,0.43442,2.23661,0.94839,0.0006847,0.0006847,0.0006847
7,67.585,0.61607,1.03547,0.90834,0.99853,1,0.995,0.82079,0.64639,1.80623,1.08584,0.00076992,0.00076992,0.00076992
8,77.1613,0.64876,1.0311,0.91467,0.99703,1,0.995,0.89775,0.53643,1.97495,0.9327,0.0008459,0.0008459,0.0008459
9,86.2972,0.55201,0.93935,0.88021,0.9988,1,0.995,0.8955,0.5028,1.61633,0.90063,0.00091264,0.00091264,0.00091264
10,95.4672,0.52002,0.88536,0.86717,0.9993,1,0.995,0.92029,0.47597,1.44315,0.90322,0.00097014,0.00097014,0.00097014
11,104.638,0.51411,0.86135,0.89389,0.99927,1,0.995,0.94504,0.41391,1.28896,0.88239,0.0010184,0.0010184,0.0010184
12,113.852,0.48505,0.84336,0.86294,0.99948,1,0.995,0.92454,0.40143,1.13468,0.90024,0.00105742,0.00105742,0.00105742
13,123.011,0.54038,0.82361,0.86169,0.99946,1,0.995,0.92029,0.36411,1.0428,0.90047,0.0010872,0.0010872,0.0010872
14,132.142,0.48536,0.75899,0.85563,0.99941,1,0.995,0.995,0.30618,0.9673,0.88678,0.00110774,0.00110774,0.00110774
15,141.319,0.48551,0.74876,0.86885,0.99944,1,0.995,0.995,0.29757,0.79809,0.88493,0.001076,0.001076,0.001076
16,150.452,0.45811,0.73618,0.86273,0.99951,1,0.995,0.995,0.25678,0.77709,0.87015,0.00101,0.00101,0.00101
17,159.794,0.41362,0.69016,0.85552,0.99952,1,0.995,0.995,0.26869,0.7836,0.87004,0.000944,0.000944,0.000944
18,170.025,0.38629,0.67672,0.83281,0.99954,1,0.995,0.995,0.22792,0.70663,0.86201,0.000878,0.000878,0.000878
19,179.84,0.36534,0.62947,0.84002,0.99953,1,0.995,0.995,0.25762,0.63511,0.86323,0.000812,0.000812,0.000812
20,189.448,0.38419,0.62751,0.84055,0.99953,1,0.995,0.995,0.25307,0.63998,0.87332,0.000746,0.000746,0.000746
21,231.59,0.30598,0.84971,0.81199,0.99952,1,0.995,0.995,0.2497,0.68304,0.88668,0.00068,0.00068,0.00068
22,240.613,0.27462,0.77358,0.7896,0.99949,1,0.995,0.90014,0.35218,0.78769,0.88251,0.000614,0.000614,0.000614
23,249.601,0.2748,0.78793,0.79199,0.99949,1,0.995,0.995,0.23129,0.71275,0.86633,0.000548,0.000548,0.000548
24,258.772,0.26863,0.76239,0.781,0.99951,1,0.995,0.995,0.2719,0.65966,0.86588,0.000482,0.000482,0.000482
25,277.389,0.2428,0.70343,0.80516,0.99952,1,0.995,0.995,0.23177,0.56951,0.86575,0.000416,0.000416,0.000416
26,286.544,0.24945,0.70956,0.78458,0.99952,1,0.995,0.995,0.20425,0.60786,0.86594,0.00035,0.00035,0.00035
27,295.627,0.2436,0.6764,0.79436,0.99953,1,0.995,0.995,0.17141,0.50862,0.86031,0.000284,0.000284,0.000284
28,304.793,0.22274,0.66027,0.79867,0.99953,1,0.995,0.995,0.2003,0.51811,0.85706,0.000218,0.000218,0.000218
29,313.817,0.22408,0.65657,0.78982,0.99953,1,0.995,0.995,0.20005,0.49478,0.85682,0.000152,0.000152,0.000152
30,322.929,0.21708,0.66477,0.77015,0.99953,1,0.995,0.995,0.17317,0.47885,0.85568,8.6e-05,8.6e-05,8.6e-05
