epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.95677,1.59579,4.1033,1.52903,0.00881,0.32668,0.01853,0.0081,1.63322,4.08858,1.55664,3e-05,3e-05,3e-05
2,17.0462,1.54435,3.98854,1.48352,0.00928,0.46541,0.08976,0.04944,1.44975,3.97677,1.37594,6.769e-05,6.769e-05,6.769e-05
3,23.6782,1.41978,3.75474,1.36242,0.01016,0.52443,0.18488,0.1063,1.37664,3.90764,1.28997,0.00010274,0.00010274,0.00010274
4,30.4531,1.6224,3.7012,1.37582,0.01209,0.55765,0.25905,0.15121,1.3448,3.7799,1.21003,0.00013515,0.00013515,0.00013515
5,36.4812,1.38877,3.39928,1.19022,0.01275,0.56804,0.33649,0.20402,1.32302,3.68591,1.17037,0.00016492,0.00016492,0.00016492
6,42.2341,1.3361,3.08842,1.19522,0.01386,0.6145,0.34127,0.22536,1.25798,3.57125,1.12457,0.00019205,0.00019205,0.00019205
7,47.8619,1.35102,2.71764,1.17157,1,0.07466,0.40615,0.25801,1.26239,3.39484,1.0919,0.00021654,0.00021654,0.00021654
8,54.7942,1.36092,2.50975,1.1582,0.98778,0.11445,0.48184,0.33014,1.26938,3.16222,1.08825,0.00023839,0.00023839,0.00023839
9,61.4454,1.37463,2.21271,1.17174,0.64609,0.17823,0.53487,0.34875,1.29627,2.942,1.08113,0.0002576,0.0002576,0.0002576
10,68.0252,1.34769,2.1095,1.18945,0.74903,0.31359,0.56751,0.34915,1.32006,2.73807,1.08027,0.00027417,0.00027417,0.00027417
11,74.5215,1.26125,1.73695,1.16782,0.84289,0.47427,0.64138,0.43571,1.28493,2.4963,1.08254,0.0002881,0.0002881,0.0002881
12,81.2071,1.35091,1.68067,1.14492,0.93919,0.5957,0.75448,0.52846,1.25268,2.31161,1.06712,0.00029939,0.00029939,0.00029939
13,87.7663,1.13046,1.51142,1.0815,0.85563,0.55237,0.73794,0.51603,1.21233,2.18442,1.0608,0.00030804,0.00030804,0.00030804
14,93.6013,1.19079,1.40439,1.07677,0.83789,0.48243,0.75419,0.53087,1.21114,2.1635,1.06175,0.00031405,0.00031405,0.00031405
15,100.625,1.13271,1.52234,1.10038,0.85972,0.56532,0.82741,0.57611,1.17779,2.07155,1.04344,0.00031742,0.00031742,0.00031742
16,106.397,1.17567,1.42322,1.11384,0.87084,0.73313,0.84218,0.59036,1.16775,2.00496,1.03994,0.00031815,0.00031815,0.00031815
17,112.883,1.15592,1.3699,1.09463,0.89703,0.72088,0.84968,0.58621,1.18524,1.9441,1.04888,0.00031624,0.00031624,0.00031624
18,118.573,1.09123,1.32229,1.0659,0.92347,0.70424,0.86072,0.61485,1.14297,1.79736,1.02428,0.00031169,0.00031169,0.00031169
19,124.313,1.06232,1.28128,1.0501,0.9075,0.74369,0.86421,0.61889,1.11657,1.71929,1.01873,0.0003045,0.0003045,0.0003045
20,130.796,1.18031,1.288,1.0976,0.90962,0.76489,0.87259,0.62685,1.11682,1.66302,1.01381,0.00029467,0.00029467,0.00029467
21,163.831,1.14137,1.89077,1.08067,0.94045,0.76472,0.87239,0.6427,1.10513,1.62724,1.00683,0.0002822,0.0002822,0.0002822
22,168.869,1.19291,1.50021,1.09677,0.96445,0.7639,0.87563,0.63953,1.09626,1.67076,1.00527,0.00026709,0.00026709,0.00026709
23,173.857,1.15453,1.44728,1.0763,0.9614,0.75096,0.86973,0.63944,1.08983,1.69286,1.00396,0.00024934,0.00024934,0.00024934
24,178.836,0.9982,1.33278,1.03988,0.94642,0.75271,0.87531,0.64129,1.07612,1.65909,0.99576,0.00022895,0.00022895,0.00022895
25,183.716,1.02816,1.35532,1.05105,0.92897,0.76368,0.88836,0.65851,1.06077,1.57949,0.99004,0.00020592,0.00020592,0.00020592
26,188.658,1.03724,1.26365,1.03774,0.94662,0.78645,0.90674,0.67094,1.04886,1.48066,0.98408,0.000175,0.000175,0.000175
27,193.612,1.09,1.19911,1.02853,0.92759,0.81358,0.91851,0.6864,1.0302,1.39136,0.97684,0.000142,0.000142,0.000142
28,198.611,1.03241,1.27186,1.02206,0.91,0.83848,0.92731,0.70058,1.00852,1.31902,0.97008,0.000109,0.000109,0.000109
29,203.567,0.98019,1.15728,0.99067,0.90319,0.84756,0.92714,0.71218,0.99847,1.26805,0.96718,7.6e-05,7.6e-05,7.6e-05
30,208.608,1.11269,1.20803,1.0483,0.90353,0.8581,0.93017,0.71859,0.99013,1.22664,0.96466,4.3e-05,4.3e-05,4.3e-05
